airports ,latitude,longitude ,passengers ,cityPop,numberAirlines,numberDestinations ,domesticDestinations ,internationalDestinations 
Austin (ABIA),30.194444,-97.67,"15,819,912",950715,18,70,62,8
Tampa (TPA),27.975556,-82.533333,"21,013,788",385430,24,100,75,15
Nashville (BNA),36.126667,-86.681944,"15,996,194",691243,15,75,78,7
Minneapolis-St. Paul (MSP),44.881944,-93.221667,"38,037,381",728952,17,163,136,27
St. Louis (STL),38.747222,-90.361389,"15,632,586",302838,13,70,63,7
Kansas City (MCI),39.2975,-94.713889,"11,841,289",641881,11,54,50,4
Salt Lake City (SLC),40.788333,-111.977778,"25,554,244",200544,9,100,89,11
Seattle (SEA),47.448889,-122.309444,"49,849,520",724745,32,118,91,27
